,artiss,juduls,chords
118,"
4WD - Iluh Mai Luh
","
4WD - Iluh Mai Luh
","

Intro/   :
Bm G Bm A
            
Bm G A Bm
            
Bm G A Bm

Bm
I Luh tusing ja
melati 
G
Tusing ja mawa ring
hati 
A
Nanging ada I Luh
dini
Bm
Miik di keneh
beline 

Bm
I Luh tusing ja
rembulan
G
Tusing ja bintang
nyunarin 
A
Nanging ada I Luh
dini
Bm
Galang di keneh
beline

Bm G A Bm


*
Bm
I Luh tusing ja
sang putri
G
Tusing ja ratu
sejagat 
A
Nanging jegeg paras
I Luh 
Bm
Kadi dewi ring
kahyangan 

G                  Bm
Sebilang I Luh
nimpalin
                            G
Keneh uyang dadi
liang
                            C#
Diastun I Luh
tusing gelah beli 


[reff]
Bm
I Luh mai Luh
G
Beli dot ketemu
buin jak
Bm
I Luh mai Luh 
G
Beli rindu makita
ngelut 
Bm
I Luh mai Luh
G
Uyang paling beli
ngenehang 
Bm
I Luh mai Luh
G
Beli makita niman 
Bm               G
I Luh.. .Luh..
Luh.. Luh.. makita niman
Bm               G
I Luh.. Luh.. Luh..
Luh... 

[solo]
Bm G Bm A
Bm G A Bm
Bm G A Bm 

Back to *
Back to /reff/

[close]
Bm G Bm A
Bm G Bm A
Bm G Bm A




































"
119,"
KIS - Kanti Semengan
","
KIS - Kanti Semengan
","

Intro/ :  G C Em D {
4X}






G                            C      Em                         D



Tujuh empat
puluh menit ngantos jam pitu pagi

 

G      C           Em                         D

Irage mejanji
lewati petengne jani

 

G                      C      Em                              D

Gisian
tekekang beli, gelutang bangkiang beli

 

G                    C          Em                      D

I love you my
adi and i hope you loving me





C-Bm{3X}  

 

Em                                               D     C-Bm{3X}

Sube mekelo iraga tusing taen ketemu

 

Em                                             D    D

 Sue ora jemu lan jani
melepas rindu




Reff: ~



G               C           Em                  D

Kanti
semengan       Terus ngajak adi

 

G               C          Em                           D

Kanti
semengan       Ngelut bangkiang adi

 

G               C          Em               D

Kanti
semengan       Ngisi liman adi

 

G               C           Em                   D

Kanti
semengan       Ngecup pipin adi 

 

G                                      Em

Tanpa bintang
bulanne mati





 
Intro/ :  G C Em D { 2X}

 

G                     C    Em              D

Mejanji je
jani adi ne kel dadi memory

 

G                          C    Em                              D

Buktiang
cintamu asli, buktikan sayangmu murni

 

G                       C      Em                              D

Gisian
tekekang beli, gelutang bangkiang beli

 

G                   C            Em                         D

I love you my
adi and i hope you loving me

 

C-Bm{3X}  

 

Em                                              D     C-Bm{3X}

Sube mekelo iraga tusing taen ketemu

 

Em                                             D    D

 Sue ora jemu lan jani
melepas rindu







Back to Reff:

 

 



/Intro/ :  G C Em D {
4X}



G               C           Em                  D

Kanti
semengan       Terus ngajak adi

 

G               C           Em                           D

Kanti
semengan       Ngelut bangkiang adi

 

G               C           Em               D

Kanti
semengan       Ngisi liman adi

 

G               C           Em                   D

Kanti
semengan       Ngecup pipin adi 

 

G                                   Em

Tanpa bintang
bulanne mati ~ 3X

 




































"
120,"
4 WD - Belog Beli Megandong (BBM)
","
4 WD - Belog Beli Megandong (BBM)
","


/Intro/  
:Em C G D 2X









Em          C             G



Bek anak ngorahang iluh



D                                             Em  
 Mejalan ngajak nak muani
elenan               C          G



Bek anak nepukin iluh
D                                        Em       



Megelut cara nak
matunangan
 
     C G          D
 
Ouooho…
Em         C    G
 
Nyesel di hati beli
D                                Em
B
uin nerima tresnan iluh            C       G
 
Subane pidan iluh
D                              Em
 
Suba taen nyakitin beli
         C      G                D
 
Memitra… ooo… memitra…
 

Reff: 

Em                   C
Belog beli mula belog

                    G                   D               Em 
 
To ngudiang beli buin percaya teken iluh
                        C
 
Belog beli mula belog

                   G                 D                   Em
 
To ngudiang beli buin nerima tresnan iluh

     C  G       D
 
Ouooho…




Intro\  :Em C G D 




Em       C      G
 
Mejanji satya iluh
D                                  Em
 
Manis munyi tuah rayuan
              C          G
 
Beli sing medaya iluh
D                            Em
 
Jani buin nyakitin beli
C               G        C
 
Memitra… ooo… memitra… 


Back to Reff :





Melodies : Em C G D



Em                   C



Belog beli mula belog                    G                   D               Em
 
To ngudiang beli buin percaya teken iluh                        C



Belog beli mula belog
                    G                 D                  Em
 
To ngudiang beli buin nerima tresnan iluh




Em     C            G        D
Belog beli belog beloge megandong
Em     C            G        D
Belog beli belog beloge megandong
Em     C            G        D
Belog beli belog beloge megandong
Em     C            G        D



  

Belog beli belog beloge megandong




































"
121,"
Mercy Band - Tu Trisna
","
Mercy Band - Tu Trisna
","

ntro\   : G Em G Em




G                Em

Luh tu Trisna

G                                             Em

Mai dini negak di samping beli

C                                  Em

adi ne megending beli ane megitaran

C                             Em

sambilang metekin bintang

C              Em

sebet beli kerase megedi

C                                       D

yen sube ado di samping adi



**

G             Em

Luh tu trisna

G                                                  Em

do nyen sebet mtunangan ngajak beli

C                                Em

Gelahang amone jele melah beli

C                       Em

Beli nak muani kuangan

C                                 Em

Kantong beli nu sesai metalang

Em                                    D

kadong memusuh ngajak rupiah





 Reff:

       G

yen mule tresna

       Em

yen mule seken sayang

            C

trusang raga mejalan

                          D

ke godag hidup pasti kal ilang

   G

di yastun hidup lacur

        Em

boye ento tolas ukur

     C

ne penting raga akur 

               D

tresnane sing lakar luntur



\Intro\  :  G Em C D 3x





Beck to |**|

Reff     : 2x



          G        Em

Tu trisna

          G        Em

Tu trisna

            G

I Love You




































"
122,"
Raka Sidan - Pak Bos (Lirik)
","
Raka Sidan - Pak Bos (Lirik)
","

Niki cerita sebet tiange di tongos megae ne jani
Rase mekelone mekuli tetep buke kene
Di warung ngutang di kantor kas bon sesai

Apeke onyang ngelah rase di tongos mekuli ngemedin
Apeke ade care titiang jani mekeengan
Gajihe bedik gaene liu sing cocok
Ane jani tiang nyambatang
Dong dingehang je


Reff
Pak bos…pak bos dong tulungin je penekang gajih tiange
Pak bos…pak bos sing sanggup tiang gali lobang nutupin lobang
Pak bos…pak bos yen suud keweh buin tiang ngalih gegaen
Pang ngidang je tiang mayah kreditan……….




































"
123,"
KIS - J.P.D.A
","
KIS - J.P.D.A
","

Author : oMOE
  : 
Intro : D    Bm        4x


(*)
D                                   Bm             D
Saat pertama ketemu adi
                               Bm                       Em
Suba ada rasa getar-getar di hati
                                            Bm
Dag-dig-dug mecedug di jantung beli
        A                              D
Ngenehang…

                                                 Bm                  D
Kenyemmu sungguh menggoda hati
                                    Bm                          Em
Menusuk-nusuk di ubun-ubun beli
                                 Bm
Setiap detik terus bayangi
     A
Hari-hari


Reff:
                               D
Seandaine adi nawang
                             Bm
Sumpah mati beli dot ngorahang
     Em                           A
Beli dot ngelahang adi
                                    D
Nanging beli sing bani
                   Bm
Ragu di keneh beli
    Em                     A
Adi ada ne ngelahang


(**)
(lirik bagian Tiari kordnya sama)


(***)
Em                           Bm
Tuah jani ngidang menghayal
Em                         Bm
Tuah di angan-angan
Em                               F#m
Apa mungkin jadi kenyataan
     G
Rasa ini…
                                         D
Jauh Panggang Dari Api


Intro : D Bm D Bm Em Bm A D
Back to  (*)
Back to Reff :
Back to  (***)
~END~

sumber :  




































"
124,"
Kis Band - Main Api
","
Kis Band - Main Api
","


Intro : E      D,   Bm,    C

          E      D    Bm.......

          E D E D E D...



        E                D               E      D             E                      D                               E        

Hey adi diolas bace BBM beli, sube berulang kali beli ngePing adi masak tusing ngerti..

D               E                     D                  E         D              E             D                E          

Galahe jani dumadak ade waktu untuk beli, sube mekelo gati tusing nepukin adi..

D             E          D       E   D              E         D      Bm........ 

Beli sube rindu 3/4 mati, beli sube kangen 7/8 mati..



Reff : 

             
C              D           E

Meplalianan api ajak adi hari ini..

               C                  D                     E

Agak-agak ngeri, takut-takut nanging bani..

                 C                   D                          E                      A 

Meplalianan api tapi de kanti adi raga main hati membakar hati..





 E D E D E D... 



           E                   D                          E          

Aduh adi coba dingehang detak jantung beli.. 

D                  E                            D                   E       

Aliran darah beli melesat menek oo tanpa kendali..

 D                     E                        D                   E           

Gambar muan adi melayang-layang ditenggek beli..

 D                E                      D                   E          

Terus merayu beli menari-nari dipikiran beli..

D               E      D     E     D             E       D      Bm......
Beli sube rindu 3/4 mati, beli sube kangen 7/8 mati..............

Back to reff

Author Chord : Ngurah Adis




































"
125,"
Raka Sidan - Song Brerong (Lirik)
","
Raka Sidan - Song Brerong (Lirik)
","

Cipt: AA Raka Sidan, Vocal AA RAKA SIDANAmpura cerita niki jakti-jaktiNe Tiang pegawi negeriTugas ring kantor bupatiGolongan Tiang TinggiYen unduk gajih pantesne Tiang ba sugihMalahan lebih maan sampingan disisiNyaloin tanah pepesan Tiang maan batiKewala telahne Tiang sing ngertiTanbina buka porotin bererongGajih telah disepirit Batin tanah telah dikafeKurenan wawa weweYen kurenane nagih pipis baat limaneYening tip waitress iying limane nyelukinSatus satak tali selukang tusing merasaAne jumah payu makentaReff:Apa mirib lintang bubune bolongPipis liune dikantong buka amah bererongNe jani sing ngidang ngomongTelahne disong bererong





































"
126,"
Dek Ulik ft Lolak - Meli Sambuk di Dawan
","
Dek Ulik ft Lolak - Meli Sambuk di Dawan
","

Sinampura.. Sinampura niki gending agen je hiburan
Mekedekan.. Mekedekan sambilan megenjekan

Meli tanah.. Meli tanah meline aji telu tengah
Ngelah somah.. Ngelah somah tusing taen ngoyong jumah

Meli sambuk.. Meli sambuk meline ditu di Dawan
Beli sibuk.. Beli sibuk dadi anggota Dewan

Tembok bata.. Tembok bata tembok bata warnane barak
Yen mekita.. Yen mekita sinah tusing ada ajak

Tembok bata.. Tembok bata tembok bata umah Dek Ulik
Yen mekita.. Yen mekita kanggoang culik-culik

*
Uduh Beli.. sebilang peteng tiyang dingin
Mengantosang sapetekan Beline mulih

Uduh Adi.. Adi jegeg sayang Beli
Antiyang je Beli pasti pasti kal mulih

**
Tiyang sing sabar sube ngantosang
Sabar je sayang nyanan baange je gagapan

Tiyang sing sabar sube ngantosang
Sabar je sayang nyanan baange je gagapan

(Beli, dadi Beli sidang kuwale ingetang na'e mase schedule tiyange Beli) 
 (Tenang, Beli kan tetep, tetep ngabe biu pusuh mulih)

Back to *
Back to **





































"
127,"
Moyo G-Pay - Fotocpopy
","
Moyo G-Pay - Fotocpopy
","

Yen dadi baan motocopy 
kel fotocopycara potone madonna 
kal tempelin di kamaranggon ubad rindu  
anggon ubad kangen
 Sing perduli adi ngorahang kemigSing perduli adi ngorahang buduhSing perduli ... adi ngorahang lebay
 *Nak mula seken saja Beli sing main-mainSumpah mati beli saja-saja sayangTresnane tulus ring dasar hatiReff:Yen dadi baan motocopy kel fotocopycara potone madonna kal tempelin di kamaranggon ubad rindu anggon ubad kangenKembali *




































"
128,"
Joni Agung & Double T - Nuutin Jaman (Lirik)
","
Joni Agung & Double T - Nuutin Jaman (Lirik)
","


Jaman ipidan jaman jukut jepang
Bajang-bajange liunan mekepang
Jamane jani jaman jukut plecing
Bajang-bajange gaya merebondingYen ipidan kewarung meli kopi
sambilang mesila meli nasi
Yen ne jani melenan unduke
Rame-rame ngecas batre ke cafe


Reff :

Dewa ratu dewa ratu
Depang sube iye keto laksanane nuutin jaman
Dewa ratu dewa ratu
Depang sube iye keto gumi linggah ajak liu

laksanane nuutin jaman
Ane penting tusing meuyutan
Apang tusing dadi benyah jak mekejang





































"
129,"
Ayu Setiati Ft. Raff 4 WD - Semata Wayang
","
Ayu Setiati Ft. Raff 4 WD - Semata Wayang
","

Intro    : D  G  A
             D  G  A
             D  G  A  D

verse 1
                                   G         
Dingehang beli tusing lakar ngidang
A              D
tyang pedidi
                                  G
dingehang beli tusing lakar ngidang       
A                    D
yening tanpa beli


             G               A             D
hoo      uhoo.......   huooo
                          G                                                  
mekita jani ada adi dini   
      A              D
menyarengin beli
                          G
sebilang wai, rindu ne tan kadi   
   A             D
tuah ken adi


pre Reff :
Bm     G           D
diolas de megedi
              A       
ngalahin dewek tyang
Bm      G          D                                           
diolas de megedi       
             A           G        A         
de taen ngelempasin tresna


Reff :
D                                 G                  
tresnan tyang semata wayang       
              Em                D
tuah ken beli, tuah ken beli ne sayangan
D                           Em
tresnan beli semata wayang        
                Em              A
tuah ken adi tuah ken adi ne sayangan
             D
ne sayangan


Em    G
A      D
A      G      A      D


verse 2

sing lakar ada tresna ane lenan     
tuah ken beli
mai je jani, gelut beli dini,   
rindu ne tan kadi

Back to pre Reff       
Back to Reff 
~END~




































"
130,"
Dian Ft. Raff 4 WD - Pada Gelahang
","
Dian Ft. Raff 4 WD - Pada Gelahang
","

D
Ngelah tunangan ane sayangan
Bm
Sing lakar ada buin ne lenan
G                                                   D  A
Stata pedaduan raga nyalanang rasa
D
Sebet lan liang jele lan melah
Bm
Pada gelahang jani jalanang
G                                                          A
Raga jak dadua satya ken sekancan janji


(*)
               G          D
Tusing lakar ngidang
    Bm                A
Tiyang tanpa beli
              G          D
Tusing lakar ngidang
    Bm          A               G
Beli tanpa adi  manimpalin
                 A
Menyarengin… ooo..


Reff :
D
Rasa sayang tulus ring hati
Bm
Sujati tresnane jalanin
      G                         D  A
Diolas de taen nyakitin
D
Jani raga pada gelahang
Bm
Makejang suba karasayang
      G                          A
Diolas de taen lempasin
                   D               G  A
Sekancan tresna.. ooo..


D
Kala majohan rindu di hati
Bm
Raga jak dadua sing lakar ngidang
G                                                      D  A
Saja sing ngidang yening raga pedidi
D
Sebet lan liang jele lan melah
Bm
Pada gelahang jani jalanang
G                                                          A
Raga jak dadua satya ken sekancan janji


Beck to (*)
Bact to Reff : 

sumber : 




































"
131,"
KIS - B.D.K
","
KIS - B.D.K
","

Intro : D  D7  Em  A  2x


           D           
Mesimpen diotak beli..
           D7
Menongos di hatin beli..
          Em                 
Sungguh sulit bli mengerti..
          A
Semua bisa saja terjadi..


(*)
          D             
Beli ngerti keneh adi..
          D7
Keto masih keneh beli..
          Em                 
It was a sweet sweet memory..
        A
Keajaiban bagi beli..


  G                    F#m 
Adi ngelut tekek beli..
  G                    F#m
Dingin ditongose dini..
  G                       F#m
Beli ngemales nge-kiss adi..
  G     A                             F#m    Bm
Dingin di beten bintang kintamani..
 G                             Bm      F#m    Em
Di beten bintang kintamani..

           D           
Angine gelutin sayong..
           D7
Bulanne engkebin ambun..
          Em               
Nanging bintange mesunar..
           A
Otak bli terus melayang..


Back to : (*)

(**)
  G                   F#m 
Adi ngelut tekek beli..
  G                   F#m
Dingin ditongose dini..
  G                      F#m
Beli ngemales nge-kiss adi..
  G     A                              F#m    Bm
Dingin di beten bintang kintamani..
 G                              Bm     F#m
Di beten bintang kintamani..
 G                             Bm     F#m
Di beten bintang kintamani..
 G                  Bm                F#m     E
Adi ngorahang this is the moment of my life..


Intro: D  D7  Em  A  2x

Back to : (**)

sumber : 




































"
132,"
Dek Ulik - Sadar Beli (Lirik)
","
Dek Ulik - Sadar Beli (Lirik)
","

Intro,

Yen kene mare luungan bayun tiange

Nepukin beli nyak sekebedik melenan

Ulian selid sanja jeg pragat sing taen jumah

Keme mai nganggoang keneh pedidi


Nejani sube nyak megarapan

Ngerunguang pianak somah

Suud ngitungangne tidong tidong


Hidupe jani kaden tusing ada apa

De buin beli ngaenang keneh tiang sengsara….

Diapin kekene tiang nu masih mrase bagia….

Mekurenan ngajak dewek beline


Yen sube beli nyak buka kene….

Nganutin sesanan beli dadi nak muani ngelah kurenan….


Reff,
Sadar je beli…keneh kenehang ja raos tiang jani

Sadar beli….

Boya nyen tiang ngatasin nak muani ngatur dewek beline

Tusing bani tiang buka keto

Ulian sayang ulian tresnan tiang marep teken beli

Tomawinang tiang bani buka kene

Sadar beli…sadar beli…. Sadar beli….




































"
133,"
Dek Ulik - Bangkung Ngamah Gula (Lirik)
","
Dek Ulik - Bangkung Ngamah Gula (Lirik)
","

Sangkaning rasa sayang tiang kapining beliKadi rasa uli ebok kanti tlapakan batis beli tiang ngelahangPokokne mekejang kejang tiang ngelahangTusing dadi anak len ngelahang…..


Ulian rasa tresnan kliwat tekening beliKejep dogen beli ejoh kapining dewek tiangSuba jejeh bayune sing mrasa laksanane buka bangkung ngamah gulaKlingkang klingkung tiang jalan mula nelponin beli…..
Reff,, 
Beli dijene…beli ngudiangne….De selingkuh nah..de nyen nakal nah….Keto tiang pepes ngentenin beliBangkung ngamah gula klingkang klingkung jalan mula….Bangkung ngamah gula klingkang klingkung jalan mula….Keto tiang…nelponin beli sesai…..




































"
134,"
Buku Tamu dan Link Exchange
","
Buku Tamu dan Link Exchange
","


Bila ingin slalu terhubung dengan Situs Chord Lagu Bali
Silahkan letakan Link Situs Chord Lagu Bali di Web/Blog Sahabat
-o0o- Terima Kasih -o0o-



Link Teks :

URL : http://chordlagubali.blogspot.com

Ancor Text : Chord Lagu Bali



copy code HTML di bawah ini:





 



Chord Lagu Bali












LINK SAHABAT CHORD LAGU BALI :

Adis Outline Bali


Pondok Merana


Radio Nak Bali


Rare Angon


Nak Bali Belog


Odong-Odong


Made Suwardike
Ghani Blog 


Destiny Life| Around IT news of World


Link Anda Disini !



salam blogger,

Adis Outline







































"
135,"
Lolot - Bes Bares
","
Lolot - Bes Bares
","

Intro:

B          G#m   D#m          F#          E          F#          B

G#m          B        D#m          E          F#             B          





Verse1




 B                                   G#m                D#m

 nak     muani       cen     ne   tusing       sakit




   D#m                          E                 F#                     B

 ninggalin         tunangan          ngajak       nak     muani




                                     G#m                            C

 megandengan             tangan       aduh      mesrane




  G#m                                  E                F#          B

 sesek       tangkah         tiange      naenang         pedih




          

            

G#m          Bbm   D#m          F#          G#m

  




F#          B

          

verse 2(chord sama dengan verse 1 )




i pidan tiang tusing percaya 

mirengang gatra di sisi

ane gorahang ragan adi 

sesai pesu meganti nak muani




ne jani beli ninggalin adi

uli duur beli pedidi

adi megelut meisepan

kadi anak luh tusing meaji

        




                   G#m                  D#m

meganti      ganti     anak    muani




    E          F#         B

 ane    keajakin      adi




               G#m                    D#m         

mirib     sesai     ragan     adine    




     E        D#m              B

suba     mogbogin       beli




                        G#m             D#m          

punapiang         jani    beli   nerima




                          E                   F#        B

nak    luh    ne  bes    bares     buka    adi




                        G#m                       D#m           

to   ngajak     pesu    ne   ngajak    pules     




                E               F#          B

ragan     adine     setate    nerima




































"
136,"
Di Ubud n' Band - Sing Kenken
","
Di Ubud n' Band - Sing Kenken
","

  Bm                                                                            C

 kenken        beneh       ne    ben     beli    jani    ngorahang




    Am                                                                     A

 kenken        beneh       ne    ben     beli    jani    mesolah




                        C

 apa     ulian     beli    jelak




                        G

 apa     ulian     beli    selem




                        C

 apa     ulian     beli    belog




                         Am                      A

 apa     ulian     ada     anak      elenan




   G          

 beli     tusing      kal    mati      ulian     adi




  Em   

 megatang          tresnan         beli




                            C    D

 beli     sing    kenken




                            G

 beli     sing    kenken




   Bm                                                                            C        B          Am

 kenken        beneh       ne    ben     beli    jani    ngorahang




  
        

 Am                                                                          D

 kenken        beneh       ne    ben     beli    jani    mesolah




                        C

 apa     ulian     adi    emed




                        G

 apa     ulian     adi    elek




                        C

 apa     ulian     adi    dueg




                        Am                        D

 apa     ulian     ada     anak      elenan




        

 reff




   G

 beli     tusing      kal    mati      ulian     adi




  Em

 megatang          tresnan         beli




                         C         D

 beli     sing    kenken




                          G

 beli     sing    kenken




 G

 beli     tusing      kal    mati      ulian     adi




   Em

 megatang          tresnan         beli




        

                        C          D

 beli     sing    kenken




                        G

 beli     sing    kenken




solo




 C         G          C          D







 reff




































"
137,"
Di Ubud n' Band - Malam Minggu
","
Di Ubud n' Band - Malam Minggu
","


         

 intro:  D          C          Em          G

          Em          D          C




verse1

            Em                G            D                          C

 jani     hari     sabtu madan        malam       minggu




                                Em                                    G                     D          C

 malam        yang      panjang         malam        yang     menyedihkan




                                Em       G                              D                  C

 hey     nak     luh    mekejang     apa     kuangan     tiang

          

                    Em                       G                    D     C

 nguda       kanti      jani     tiang      trus     pedidi            




reff




    Em                 G          D                 C

 malam        minggu        buin     pedidian




     Em                               G                D                 C

 tusing       ngelah       tunangan          terus      pedidian




    Em                G                           D                           C

 malam        minggu        diolas      sing     jalan     mejalan




  Em                        G                 D          C

 med      mengantosang           terus      pedidian







 verse 2 (chord sama dengan verse 1)

 filsafat ngorahang jodoh di tangan Tuhan

 nguda  kanti  jani  tiang  terus pedidi




 reff




 D                                       A                                        Em

 malam        minggu        malam        metimpal          sepi




                      D                                C

 malam        minggu        terus      pedidi




       

 solo




     Em      G            D          C

    Em          G          D          C







        

 reff




































"
138,"
Di Ubud n' Band - Adik Manis Sugar
","
Di Ubud n' Band - Adik Manis Sugar
","


intro:          G          F          G







          F          C




verse 1

  G

 hey     adi    manis       sayang




    G                                                         Am

 kenken        kabare        jani     suba     mekelo





               C                                                                                   G

 i raga      tusing       taen     ketemu         beli    dini    merasa        rindu




 ****         

    G                                         G                                                                Am

 inget      sing     adi    pidan      dugas      iraga      mejalan         saling      megisian




              C                                                 G

 menyaksiang          bulan      metekin         bintang        bintang




verse 2




    Bm                               C

 nanging         jani    beli    pedidi




     Bm                                   C                                     Am       

 setata        mekenyem          yen    inget      ken     adi




          

 reff 

     

                             Em

you     are    my     sugar




                      C                                                Am

 you      are    my,     my     sweet       memory




                              Em

 you      are    my     sugar




                      C       

 you      are    my,     my     sweet       memory




  solo:

          G         F          G







          F          C         




****




 reff

          




D                             Em

  iraga      tusing       taen     peduli




             C                                     G

 apin     iraga      sing     taen     metunangan




D                           Em

  iraga      terus      lakar      mejalan




                C                   Am

 terus       lakar     mejalan




          

 reff







































"
139,"
4WD - I Luh Putu
","
4WD - I Luh Putu
","

          D          A          Bm

          A          D          C#m

          Bm          A

          D          C#m          B

          A          D

          C#m          Bm          A

          D







 D            C#                          Bm                       A                                      D

 iluh     putu     tunangan          beli    ane     tresnain        sayangang           beli




                         C#                                Bm

 sampunang      iluh    sebet       ring    manah




                A                              D

 bli   megedi        lakar      mewali




 C#          C#m          Bm           A 

              lakar      mewali

 

****

 

 D                          C#                           Bm   

 satya       ken     janji     ngaba       tresnane




                         A                                   D

 saling      percaya         raga     jak     dadua




                        C#                                    Bm 

 yen     iluh    rindu      kangen        ken     beli




                        A

  rasayang       beli    ditu    ring    hati




 A         D                   G

      iluh    bli   mejanji      satya     teken    tresnane

 




reff




  G        Bm                                  G                   A

     iluh        sampunang        malih     sengsaya




               Bm

  teken     beli




      G                         D                        A                Bm

  iluh    antosang       beli    beli   lakar     mewali




     G                         D           A                           Bm

  iluh    pengidih       beli    satya    iliuh    teken     janji




                  

solo




     D          Bm          D          G

  

     G          G             G          G




     D







     C#          Bm          A







 ****

 

     reff




































"
140,"
Di Ubud n' Band - Broken Made
","
Di Ubud n' Band - Broken Made
","

      B                       Am
 ngecogin          api    i made       bani




                                   B                                         Am

 nanging         made      jejeh       teken      matan        ai




                           Em                                            Am

 ye    setata       pedidi       ye   metimpal          sepi




      B          Am

 made       jani





                                      Em

 living      in   all   bla bla bla




          Am          Em      Am




                            Em                                                    Am

 mirib      suba      telah      jengah       i  made       ngerasang          hidup




                         Em

 kalain       tunangan          pisunang        timpal




           Dm                   Am

 memiegan           mejaguran          mirib      i made       mase       taen     kalah




                               F#          Em

 megarang          warisan




Am          




verse2 







     Bm                                      D                                                          Am

 ketogin         arak     api    i made       mara       ngidang        memunyi




         Bm                                  D                                                           Am

 ketogin         arak     api    i made       mara       ngidang        memunyi







          

 reff




    Em                D             Am

 broken         broken        made




    Em                D             Am

 broken         broken        made




    Em                D             Am

 broken         broken        made




    Em                D             Am

 broken         broken        made




                        Em          D    Am

 i  made       punyah        ah    ah




                        Em          D    Am

 i  made       punyah        ah    ah




       

 solo




          C          Am    C          Am







          C         Dm

verse 2

 reff

 

sumber : http://balisingasong.blogspot.com/2010/10/broken-made-chord-di-ubud-band.html 




































"
141,"
Di Ubud n' Band - Putu Buin Mani
","
Di Ubud n' Band - Putu Buin Mani
","


intro: G         G






verse 1

  G

 Tu....      buin     mani




  C                                    G

 de    je    putu     teka      mai




  G      

 Tu...      buin     mani





 C                                             G

 beli     tusing      lakar      nu    dini




                                 Em   

 engsapang          je    beli




                                 G  

 kalahin        suba     beli




verse 2 (chord sama dengan verse 1)

 Tu...      dingahang          beli

 tresna        ne   puputang          jani

 Tu....      de    sangetange          beli

 depang        beli    pedidi

 engsapang          je    beli

 kalahin        suba     beli




 pre reff

                     Am          Bm          C

 sujatine         beli




                                    D

 suba      ngelah       pengganti          jani




  

 reff




 G

 De    Nyen      putu      sebet      mengeling




 G

 beli     tusing      ngidang        nyalanin




 G                       C       

 tresna        puniki




  G    

 De    Nyen      putu      sebet      mengeling




  G       

 beli     tusing      ngidang        nyalanin




                        C

 tresna        puniki




                            Em

 engsapang     je    beli    




                               G

 kalahin       suba      beli







pre reff

                     Am          Bm          C

 sujatine         beli




                                    D

 suba      ngelah       pengganti          jani




      

 solo




          C            G          C







          C          Em          C







          C       C          G          Em 







          A      D







  verse       1

  




































"
